Height Pressure Rho
6.021021e+04 1.396834e+04 2.568818e-01
6.026026e+04 1.382185e+04 2.544489e-01
6.031031e+04 1.367690e+04 2.520393e-01
6.036036e+04 1.353346e+04 2.496528e-01
6.041041e+04 1.339154e+04 2.472892e-01
6.046046e+04 1.325110e+04 2.449482e-01
6.051051e+04 1.311213e+04 2.426296e-01
6.056056e+04 1.297462e+04 2.403333e-01
6.061061e+04 1.283855e+04 2.380589e-01
6.066066e+04 1.270391e+04 2.358063e-01
6.071071e+04 1.257068e+04 2.335753e-01
6.076076e+04 1.243885e+04 2.313656e-01
6.081081e+04 1.230840e+04 2.291771e-01
6.086086e+04 1.217932e+04 2.270095e-01
6.091091e+04 1.205159e+04 2.248626e-01
6.096096e+04 1.192520e+04 2.227364e-01
6.101101e+04 1.180014e+04 2.206304e-01
6.106106e+04 1.167639e+04 2.185446e-01
6.111111e+04 1.155393e+04 2.164788e-01
6.116116e+04 1.143276e+04 2.144327e-01
6.121121e+04 1.131287e+04 2.124062e-01
6.126126e+04 1.119422e+04 2.103991e-01
6.131131e+04 1.107683e+04 2.084111e-01
6.136136e+04 1.096066e+04 2.064422e-01
6.141141e+04 1.084572e+04 2.044921e-01
6.146146e+04 1.073197e+04 2.025607e-01
6.151151e+04 1.061942e+04 2.006477e-01
6.156156e+04 1.050806e+04 1.987530e-01
6.161161e+04 1.039785e+04 1.968764e-01
6.166166e+04 1.028881e+04 1.950177e-01
6.171171e+04 1.018091e+04 1.931769e-01
6.176176e+04 1.007414e+04 1.913536e-01
6.181181e+04 9.968489e+03 1.895477e-01
6.186186e+04 9.863946e+03 1.877591e-01
6.191191e+04 9.760501e+03 1.859875e-01
6.196196e+04 9.658140e+03 1.842329e-01
6.201201e+04 9.556852e+03 1.824951e-01
6.206206e+04 9.456627e+03 1.807738e-01
6.211211e+04 9.357453e+03 1.790690e-01
6.216216e+04 9.259319e+03 1.773805e-01
6.221221e+04 9.162214e+03 1.757081e-01
6.226226e+04 9.066128e+03 1.740516e-01
6.231231e+04 8.971049e+03 1.724110e-01
6.236236e+04 8.876967e+03 1.707861e-01
6.241241e+04 8.783872e+03 1.691766e-01
6.246246e+04 8.691753e+03 1.675825e-01
6.251251e+04 8.600601e+03 1.660036e-01
6.256256e+04 8.510404e+03 1.644398e-01
6.261261e+04 8.421153e+03 1.628909e-01
6.266266e+04 8.332838e+03 1.613568e-01
6.271271e+04 8.245450e+03 1.598373e-01
6.276276e+04 8.158977e+03 1.583323e-01
6.281281e+04 8.073412e+03 1.568417e-01
6.286286e+04 7.988744e+03 1.553653e-01
6.291291e+04 7.904964e+03 1.539029e-01
6.296296e+04 7.822063e+03 1.524545e-01
6.301301e+04 7.740031e+03 1.510199e-01
6.306306e+04 7.658859e+03 1.495990e-01
6.311311e+04 7.578538e+03 1.481917e-01
6.316316e+04 7.499060e+03 1.467977e-01
6.321321e+04 7.420416e+03 1.454171e-01
6.326326e+04 7.342596e+03 1.440495e-01
6.331331e+04 7.265592e+03 1.426951e-01
6.336336e+04 7.189396e+03 1.413535e-01
6.341341e+04 7.113999e+03 1.400247e-01
6.346346e+04 7.039393e+03 1.387086e-01
6.351351e+04 6.965569e+03 1.374050e-01
6.356356e+04 6.892519e+03 1.361138e-01
6.361361e+04 6.820235e+03 1.348349e-01
6.366366e+04 6.748710e+03 1.335682e-01
6.371371e+04 6.677934e+03 1.323136e-01
6.376376e+04 6.607901e+03 1.310709e-01
6.381381e+04 6.538602e+03 1.298400e-01
6.386386e+04 6.470030e+03 1.286209e-01
6.391391e+04 6.402177e+03 1.274134e-01
6.396396e+04 6.335036e+03 1.262173e-01
6.401401e+04 6.268599e+03 1.250326e-01
6.406406e+04 6.202858e+03 1.238592e-01
6.411411e+04 6.137807e+03 1.226970e-01
6.416416e+04 6.073439e+03 1.215458e-01
6.421421e+04 6.009745e+03 1.204056e-01
6.426426e+04 5.946719e+03 1.192762e-01
6.431431e+04 5.884354e+03 1.181576e-01
6.436436e+04 5.822644e+03 1.170496e-01
6.441441e+04 5.761580e+03 1.159521e-01
6.446446e+04 5.701157e+03 1.148651e-01
6.451451e+04 5.641367e+03 1.137884e-01
6.456456e+04 5.582205e+03 1.127220e-01
6.461461e+04 5.523663e+03 1.116656e-01
6.466466e+04 5.465735e+03 1.106193e-01
6.471471e+04 5.408414e+03 1.095830e-01
6.476476e+04 5.351695e+03 1.085565e-01
6.481481e+04 5.295570e+03 1.075398e-01
6.486486e+04 5.240034e+03 1.065327e-01
6.491491e+04 5.185080e+03 1.055352e-01
6.496496e+04 5.130703e+03 1.045472e-01
6.501502e+04 5.076896e+03 1.035685e-01
6.506507e+04 5.023653e+03 1.025991e-01
6.511512e+04 4.970969e+03 1.016390e-01
6.516517e+04 4.918837e+03 1.006880e-01
6.521522e+04 4.867252e+03 9.974595e-02
6.526527e+04 4.816208e+03 9.881288e-02
6.531532e+04 4.765699e+03 9.788867e-02
6.536537e+04 4.715720e+03 9.697323e-02
6.541542e+04 4.666265e+03 9.606648e-02
6.546547e+04 4.617329e+03 9.516834e-02
6.551552e+04 4.568906e+03 9.427871e-02
6.556557e+04 4.520990e+03 9.339753e-02
6.561562e+04 4.473577e+03 9.252470e-02
6.566567e+04 4.426662e+03 9.166016e-02
6.571572e+04 4.380238e+03 9.080381e-02
6.576577e+04 4.334302e+03 8.995559e-02
6.581582e+04 4.288847e+03 8.911540e-02
6.586587e+04 4.243868e+03 8.828319e-02
6.591592e+04 4.199362e+03 8.745886e-02
6.596597e+04 4.155322e+03 8.664235e-02
6.601602e+04 4.111744e+03 8.583357e-02
6.606607e+04 4.068623e+03 8.503246e-02
6.611612e+04 4.025955e+03 8.423894e-02
6.616617e+04 3.983733e+03 8.345295e-02
6.621622e+04 3.941955e+03 8.267439e-02
6.626627e+04 3.900615e+03 8.190322e-02
6.631632e+04 3.859708e+03 8.113935e-02
6.636637e+04 3.819230e+03 8.038271e-02
6.641642e+04 3.779177e+03 7.963324e-02
6.646647e+04 3.739544e+03 7.889086e-02
6.651652e+04 3.700326e+03 7.815552e-02
6.656657e+04 3.661520e+03 7.742713e-02
