Height Pressure Rho
9.909910e+03 1.488046e+04 2.719813e-01
9.959960e+03 1.472441e+04 2.694038e-01
1.001001e+04 1.456999e+04 2.668509e-01
1.006006e+04 1.441719e+04 2.643225e-01
1.011011e+04 1.426599e+04 2.618183e-01
1.016016e+04 1.411638e+04 2.593382e-01
1.021021e+04 1.396834e+04 2.568818e-01
1.026026e+04 1.382185e+04 2.544489e-01
1.031031e+04 1.367690e+04 2.520393e-01
1.036036e+04 1.353346e+04 2.496528e-01
1.041041e+04 1.339154e+04 2.472892e-01
1.046046e+04 1.325110e+04 2.449482e-01
1.051051e+04 1.311213e+04 2.426296e-01
1.056056e+04 1.297462e+04 2.403333e-01
1.061061e+04 1.283855e+04 2.380589e-01
1.066066e+04 1.270391e+04 2.358063e-01
1.071071e+04 1.257068e+04 2.335753e-01
1.076076e+04 1.243885e+04 2.313656e-01
1.081081e+04 1.230840e+04 2.291771e-01
1.086086e+04 1.217932e+04 2.270095e-01
1.091091e+04 1.205159e+04 2.248626e-01
1.096096e+04 1.192520e+04 2.227364e-01
1.101101e+04 1.180014e+04 2.206304e-01
1.106106e+04 1.167639e+04 2.185446e-01
1.111111e+04 1.155393e+04 2.164788e-01
1.116116e+04 1.143276e+04 2.144327e-01
1.121121e+04 1.131287e+04 2.124062e-01
1.126126e+04 1.119422e+04 2.103991e-01
1.131131e+04 1.107683e+04 2.084111e-01
1.136136e+04 1.096066e+04 2.064422e-01
1.141141e+04 1.084572e+04 2.044921e-01
1.146146e+04 1.073197e+04 2.025607e-01
1.151151e+04 1.061942e+04 2.006477e-01
1.156156e+04 1.050806e+04 1.987530e-01
1.161161e+04 1.039785e+04 1.968764e-01
1.166166e+04 1.028881e+04 1.950177e-01
1.171171e+04 1.018091e+04 1.931769e-01
1.176176e+04 1.007414e+04 1.913536e-01
1.181181e+04 9.968489e+03 1.895477e-01
1.186186e+04 9.863946e+03 1.877591e-01
1.191191e+04 9.760501e+03 1.859875e-01
1.196196e+04 9.658140e+03 1.842329e-01
1.201201e+04 9.556852e+03 1.824951e-01
1.206206e+04 9.456627e+03 1.807738e-01
1.211211e+04 9.357453e+03 1.790690e-01
1.216216e+04 9.259319e+03 1.773805e-01
1.221221e+04 9.162214e+03 1.757081e-01
1.226226e+04 9.066128e+03 1.740516e-01
1.231231e+04 8.971049e+03 1.724110e-01
1.236236e+04 8.876967e+03 1.707861e-01
1.241241e+04 8.783872e+03 1.691766e-01
1.246246e+04 8.691753e+03 1.675825e-01
1.251251e+04 8.600601e+03 1.660036e-01
1.256256e+04 8.510404e+03 1.644398e-01
1.261261e+04 8.421153e+03 1.628909e-01
1.266266e+04 8.332838e+03 1.613568e-01
1.271271e+04 8.245450e+03 1.598373e-01
1.276276e+04 8.158977e+03 1.583323e-01
1.281281e+04 8.073412e+03 1.568417e-01
1.286286e+04 7.988744e+03 1.553653e-01
1.291291e+04 7.904964e+03 1.539029e-01
1.296296e+04 7.822063e+03 1.524545e-01
1.301301e+04 7.740031e+03 1.510199e-01
1.306306e+04 7.658859e+03 1.495990e-01
1.311311e+04 7.578538e+03 1.481917e-01
1.316316e+04 7.499060e+03 1.467977e-01
1.321321e+04 7.420416e+03 1.454171e-01
1.326326e+04 7.342596e+03 1.440495e-01
1.331331e+04 7.265592e+03 1.426951e-01
1.336336e+04 7.189396e+03 1.413535e-01
1.341341e+04 7.113999e+03 1.400247e-01
1.346346e+04 7.039393e+03 1.387086e-01
1.351351e+04 6.965569e+03 1.374050e-01
1.356356e+04 6.892519e+03 1.361138e-01
1.361361e+04 6.820235e+03 1.348349e-01
1.366366e+04 6.748710e+03 1.335682e-01
1.371371e+04 6.677934e+03 1.323136e-01
